word,definition
green,绿色的；绿色
bold,大胆的；冒失的
somewhat,有点，稍微
dramatic,戏剧性的；引人注目的
date,日期；约会
guest,客人
ant,蚂蚁
harvest,收获；收割
fear,害怕；恐惧
anything,任何事物；一切
care,小心；照顾；关怀
launch,发射；发起
civilization,文明，文化
portable,便携的
queue,队列；排队
help,帮助；援助
ancestor,祖宗，祖先
pleasant,令人愉快的
class,班，班级；阶级
transportation,运输
twelfth,第十二
accuse,指责；归咎于
present,现在的；礼物；出席
largely,主要地；大量地
popular,流行的；受欢迎的
lip,嘴唇
typical,典型的
education,教育；学历
select,选择
cash,现金，现款
from,从…来；离开
abundant,丰富的；大量的
appeal,呼吁；申述
entitle,给…权利；给…题名
throw,投；扔
secret,秘密的；秘密
betray,背叛；辜负；泄漏
army,军队；陆军
drill,钻头；训练
twenty,二十
occupy,占领；占据
elaborate,精心制作的；详尽的
second,第二；秒
crystal,水晶；晶体
gentleman,绅士；先生
dawn,黎明；开端
remove,移动；去除
evaluate,评价，估价
endless,无止境的
without,没有；在…之外
urge,催促；冲动
bottom,底，底部，根基
bubble,泡；泡沫
wine,葡萄酒
central,中心的；主要的
bond,联结，联系；公债
soft,软的；温柔的
extremely,极端地，非常
possibility,可能性
soon,不久；很快
accord,使一致；给予
past,过去的；经过
silver,银；银色的
responsibility,责任
faith,信任，信心；信仰
plan,计划；方案
transfer,转移；调动
collar,衣领，项圈
evident,明显的
helpful,有帮助的
divide,分；分配；分开
avoid,避免，躲开；撤消
good,好的；有益的
cause,原因；理由；事业
tough,坚韧的；困难的
ocean,海洋
decay,腐烂；衰败
phone,电话
bag,袋，包，钱包，背包
blind,瞎的；盲目的
price,价格；代价
root,根；根源
mask,面具；口罩
accurate,准确的，正确无误的
bad,坏的，恶的；严重的
surgery,外科手术
market,市场；集市
eyesight,视力，目力
shed,流出；脱落
translate,翻译
cast,投，扔，抛
industrial,工业的
electricity,电，电流
discuss,讨论
fill,装满；填充
southern,南方的
cupboard,碗柜，小橱
edge,边缘；刀口
finger,手指
painting,绘画；画
principle,原则；原理
veteran,老兵；老手
size,大小；尺寸
justify,证明…是正当的
beam,梁；横梁；束，柱
road,路，道路
answer,回答；响应；适应
recruit,招募
pure,纯粹的；纯洁的
domestic,本国的；家庭的
professor,教授
buy,买，购买
insurance,保险；保险费
directly,直接地
stable,稳定的
avenue,林荫道，道路；大街
reduce,减少；降低
aviation,航空，航空学
contrast,对比，对照
bathe,给…洗澡；弄湿
official,官方的；正式的
assembly,集合；集会；装配
cold,冷的；寒冷
peaceful,和平的；安静的
object,物体；目标；反对
money,钱，金钱
race,比赛；种族
arise,出现；由…引起
assign,指派；分配；指定
figure,数字；人物；图形
atom,原子；微粒；微量
pipe,管子；管道
purple,紫色的
association,协会，团体；联合
definite,明确的；肯定的
exposure,暴露；揭露
cope,对付，应付
coach,长途公共汽车；教练
national,国家的；民族的
snake,蛇
potato,土豆，马铃薯
surprise,惊奇；使惊奇
knife,刀
evil,邪恶的；罪恶
manner,方式；态度；礼貌
electrical,电的；电气科学的
importance,重要性
absence,缺席，不在场；缺乏
hospital,医院
community,社区；社会
assume,假定；承担；呈现
inspect,检查；视察
deceive,欺骗，蒙蔽
mouse,老鼠；鼠标
name,名字；命名
intermediate,中间的
competent,有能力的；胜任的
disadvantage,不利条件
bible,基督教《圣经》
adapt,使适应；改编
pig,猪
sight,视力；景象
arm,臂；臂状物；武器
blame,责备，把…归咎于
pollution,污染
live,居住；活的
bang,巨响，枪声；猛击
draw,画；拉；吸引
measure,量；测量；措施
tone,语气；音调
container,容器；集装箱
yell,叫喊
cheap,便宜的；劣质的
lower,降低；放下
willing,愿意的
tight,紧的
corporation,公司，企业
draft,草稿；草案
boy,男孩，少年；家伙
gap,缺口；差距
institution,机构；制度
atmospheric,大气的；大气层的
blanket,毛毯，毯子，羊毛毯
shelf,架子
silk,丝绸
split,劈开；分裂
artistic,艺术的；艺术家的
mere,仅仅的；纯粹的
invisible,看不见的
knot,结；节
greet,问候，打招呼
layer,层，阶层
slide,滑动；幻灯片
bitterly,苦苦地；悲痛地
bill,账单；招贴；票据
copy,抄本；复制
internet,互联网
mirror,镜子
distribution,分发；分布
miracle,奇迹
public,公共的；公众的
project,项目；工程
cattle,牛；牲口
truly,真正地
decide,决定，决心
naked,裸体的；无遮蔽的
sound,声音；健全的
equal,相等的；等于
discount,折扣
or,或，或者
tour,旅行；观光
fourth,第四
alternative,替换物；取舍，抉择
auxiliary,辅助的；附属的
develop,发展；开发
assure,使确信；向…保证
science,科学
temperature,温度
ax,斧子
accommodation,招待设备；预定铺位
world,世界
ray,光线；射线
dial,钟面；拨号
positive,积极的；肯定的
raw,生的；未加工的
affection,慈爱，爱；爱慕
future,将来，未来
attribute,把…归因于；属性
description,描述；说明书
downstairs,在楼下
cabinet,橱，柜；内阁
magnificent,壮丽的；极好的
our,我们的
liberty,自由
hint,暗示；提示
worth,值；值得
speech,演说；言语
innovation,创新
fiber,纤维；光纤
themselves,他们自己
criticism,批评；评论
substance,物质
transition,转变；过渡
piano,钢琴
deal,交易；处理
knock,敲；碰撞
represent,代表；表示
pass,经过；传递
electric,电的；电动的
company,公司；陪伴
polite,有礼貌的
moderate,适度的；温和的
slip,滑倒；疏忽
careless,粗心的，漫不经心的
capable,有能力的，有才能的
per,每；按照
awake,醒着的；唤醒
namely,即，也就是
treat,对待；治疗
before,在…以前；向…
wife,妻子
voyage,航行
dispose,处理；安排
assistant,助手，助理；助教
disguise,假扮，伪装
fault,缺点；过失
happy,快乐的；幸福的
breast,乳房；胸脯
advertisement,广告；公告；登广告
navy,海军
fool,傻子；愚弄
regular,规则的；定期的
able,有能力的；出色的
pay,支付；工资
pick,挑选；采摘
command,命令；指挥；掌握
his,他的
vanish,消失
would,将会；愿意
resident,居民
unfair,不公平的
sensitive,敏感的
external,外部的；外面的
sad,悲伤的
both,两者(都)
officer,官员；军官
consequently,因此，因而
november,十一月
egg,蛋，鸡蛋
tidy,整洁的
to,到；向
abstract,抽象的；摘要
man,男人；人类
colleague,同事，同僚
leg,腿
experience,经验；经历
zone,地区；地带
woman,女人
service,服务；公共事业
elephant,象
phase,阶段；方面
stomach,胃；肚子
brow,眉，眉毛
tiny,微小的
step,步骤；脚步
acquire,取得；获得；学到
pose,姿势；提出
drink,喝；饮料
path,路；途径
metal,金属
reference,参考；参考文献
however,然而；不管怎样
hut,小屋，棚屋
attraction,吸引；吸引力；引力
reflection,反射；映像
kiss,吻
stick,棍；粘住
column,柱，圆柱；专栏
sample,样品；样本
close,关的；关闭
brake,闸，刹车；制动
approach,向…靠近；靠近
benefit,利益；恩惠；津贴
nevertheless,然而，不过
once,一次；曾经
chapter,章，回
delicate,精致的；微妙的
handsome,英俊的；可观的
input,输入
quiz,测验
late,迟的；晚的
radiation,辐射；放射
urban,城市的
efficient,效率高的
physics,物理学
president,总统；校长
unless,除非
door,门
youngster,年轻人
election,选举
chest,胸腔；箱子
master,主人；大师；掌握
shade,荫；遮光物
individual,个人的；个别的
note,笔记；注意
single,单一的；单身的
debate,争论，辩论
final,最后的；决定性的
throat,喉咙
probably,大概，或许
daylight,日光，白昼
auto,(口语)汽车
email,电子邮件
inspire,鼓舞；激发
find,找到；发现
altogether,完全；总而言之
development,发展；开发
asleep,睡着的，睡熟的
foolish,愚蠢的
street,街道
delicious,美味的，怡人的
powder,粉末；火药
studio,工作室
series,系列；连续
empire,帝国
hostile,敌对的；不友好的
meanwhile,与此同时
common,普通的；共同的
divorce,离婚；分离
training,训练
perhaps,也许，可能
concentrate,集中；浓缩
section,部分；截面
resign,辞职
baby,婴儿；孩子气的人
shoe,鞋
straight,直的；直接地
tailor,裁缝
eliminate,消除，排除
span,跨度；一段时间
data,数据，资料
grip,握紧；掌握
here,这里
commission,委任状；佣金
hat,帽子
see,看见；明白
male,男性的；雄性的
witness,目击者；证人
wisdom,智慧
blossom,花，开花；开花
difficulty,困难；难题
bat,球拍；短棍；蝙蝠
exclude,把…排除在外
destruction,破坏，毁灭
smile,微笑
application,请求，申请；施用
award,奖，奖品；判定
taste,味道；品尝
corresponding,相应的；符合的
pulse,脉搏；脉冲
handle,处理；操作；把手
risk,风险；危险
satisfy,满足；使满意
expense,费用，开支
porch,门廊
basin,盆，洗脸盆；盆地
horror,恐怖；厌恶
cancer,癌，癌症
perspective,观点；透视
mate,伙伴；配偶
transform,改变；变换
apology,道歉，认错，谢罪
elect,选举，推选
remarkable,显著的；异常的
germ,细菌；萌芽
guy,家伙，人
bitter,痛苦的；严寒的
hotel,旅馆
better,较好的；更好地
boat,小船，艇；渔船
fundamental,基本的；根本的
wedding,婚礼
decorate,装饰，装潢
coarse,粗的，粗糙的
envy,嫉妒；羡慕
gas,气体；煤气
knee,膝盖
suspend,悬挂；暂停
colony,殖民地
wall,墙；墙壁
accident,意外的；事故
episode,一段经历；插曲
reaction,反应
luck,运气
delivery,投递；交付；分娩
keen,热切的；敏锐的
play,玩；播放；剧本
table,桌子；表格
shot,射击；射门
those,那些
creative,创造性的
preserve,保护；保存
air,空气；空中；外观
relieve,减轻；解除
occupation,占领；职业
difficult,困难的
delegate,代表；委派
bicycle,自行车，脚踏车
along,沿着；向前
altitude,高，高度；高处
king,国王
real,真的；现实的
behalf,利益，维护，支持
player,运动员；演奏者
uncle,叔父；伯父
standard,标准的
body,身体；主体；尸体
tube,管子；地铁
charm,魅力；迷人
depress,使沮丧；压下
do,做，干
enough,足够的
undertake,承担；从事
agree,同意；持相同意见
breakfast,早饭，早餐
separate,分离的；分开
